Customer_ID,Name,Age,Gender,Annual_Income,Credit_Score,Total_Debt,Employment_Status
C00000076,Brandy Barry,43,Male,59777.78,392,10921.52,Employed
C00000077,Daniel Mccarthy,61,Male,99363.33,427,48826.52,Unemployed
C00000078,Sheryl Rodriguez,51,Male,84009.81,838,13209.58,Employed
C00000079,Cassandra Gomez,27,Female,108206.99,624,21774.42,Retired
C00000080,Heather Hill,53,Female,62584.43,808,2259.6,Retired
C00000081,Sherry Bartlett,31,Male,140303.08,675,25031.59,Self-Employed
C00000082,Alyssa Wilson,48,Male,62226.38,743,1426.04,Self-Employed
C00000083,Daniel Ford,65,Female,128378.24,834,37423.07,Self-Employed
C00000084,Paul Sparks,32,Female,84398.48,823,28925.71,Unemployed
C00000085,Sandra Smith,25,Male,65265.7,540,5036.54,Retired
C00000086,Desiree Parker,31,Female,145100.47,738,29618.03,Retired
C00000087,John Graham,40,Female,193743.16,797,38837.21,Unemployed
C00000088,Kimberly Reynolds,57,Female,176487.58,507,22070.11,Employed
C00000089,Heidi Jones,38,Female,35630.37,364,9854.93,Retired
C00000090,Scott Ashley,33,Female,101794.48,606,42311.93,Employed
C00000091,Marissa Burton,62,Female,145060.39,759,10969.6,Unemployed
C00000092,Jeremy Carter,35,Female,121270.85,755,27657.68,Retired
C00000093,Christopher Maldonado,64,Female,150744.23,530,16297.69,Unemployed
C00000094,Edward Robinson,41,Male,195521.63,827,15241.81,Unemployed
C00000095,Kimberly Lambert,43,Female,81608.93,304,9155.06,Retired
C00000096,Samuel Clarke,42,Male,158757.17,470,31789.69,Self-Employed
C00000097,Savannah Brown,62,Male,36932.84,792,43473.81,Employed
C00000098,Stephen Greene,58,Male,176554.68,356,626.4,Employed
C00000099,Sara Sexton,46,Male,160117.8,396,15882.39,Self-Employed
C00000100,Amber Brown,32,Male,113774.14,813,41025.69,Employed
C00000101,Brian Jensen,62,Female,167786.02,439,33948.22,Self-Employed
C00000102,Spencer Edwards,18,Male,139992.22,669,6556.44,Unemployed
C00000103,Carolyn Mata,42,Female,119400.72,722,19847.07,Self-Employed
C00000104,Wesley Carter,24,Male,190280.09,746,44761.62,Self-Employed
C00000105,Desiree Jackson,26,Female,43447.74,311,31213.71,Employed
C00000106,Michael Simmons,41,Female,198734.18,461,41098.07,Unemployed
C00000107,Jeffrey Olsen,18,Male,47797.92,316,25804.32,Unemployed
C00000108,Mr. Jason Marshall MD,61,Female,106431.67,329,12081.2,Self-Employed
C00000109,Bruce Davis,25,Male,61653.98,385,4669.67,Unemployed
C00000110,Amanda Durham,41,Female,68944.46,720,35952.2,Employed
C00000111,Eduardo Wood,28,Female,133729.75,507,2320.23,Retired
C00000112,Andrea Parks,68,Male,26247.83,581,15778.8,Retired
C00000113,Crystal Hammond,34,Female,189334.42,731,13877.79,Retired
C00000114,Dawn Stevens,25,Female,70331.98,595,8802.54,Self-Employed
C00000115,Jacob Hernandez,52,Female,69055.86,655,27709.89,Unemployed
C00000116,Mary Johnson,52,Female,175441.47,777,49560.45,Unemployed
C00000117,Monica Wilkinson,50,Female,157670.51,367,43960.23,Employed
C00000118,Anthony Wells,22,Female,140909.95,358,11068.74,Employed
C00000119,Jeffrey Barber,59,Male,46344.52,509,4278.53,Unemployed
C00000120,Lindsey Mack,56,Female,158531.01,778,40569.15,Retired
C00000121,Michael Holden,58,Male,84937.93,787,34477.38,Employed
C00000122,Michele Martinez,45,Female,198899.96,439,32085.04,Unemployed
C00000123,Lisa Cruz,24,Male,140824.92,458,26628.64,Employed
C00000124,Paige Jackson,26,Female,170460.75,455,36675.6,Employed
C00000125,Megan Castillo,25,Male,152081.35,399,25782.57,Unemployed
C00000126,Bonnie Clark,29,Female,126962.9,581,25827.48,Unemployed
C00000127,Jacob Vincent,51,Male,148937.43,540,19382.05,Employed
C00000128,Pamela Reynolds,50,Male,127547.09,824,40613.38,Self-Employed
C00000129,Tonya Collins,65,Male,29215.75,765,7581.27,Employed
C00000130,Shaun Vargas,40,Female,82194.17,790,44046.79,Unemployed
C00000131,Timothy Williams,41,Female,76955.15,596,32436.1,Unemployed
C00000132,Laura Robertson,54,Female,148515.18,587,30179.02,Unemployed
C00000133,Leah Roman,52,Male,123711.18,784,46064.87,Self-Employed
C00000134,Heather Delgado,61,Female,129887.98,676,32347.74,Unemployed
C00000135,Amy Barnes,57,Male,172456.68,654,10553.08,Employed
C00000136,Cody Warren,39,Female,114555.29,605,40777.18,Retired
C00000137,Patricia Drake,44,Male,59289.9,302,47049.68,Retired
C00000138,Emily Scott,52,Male,22239.14,809,16661.82,Self-Employed
C00000139,Shirley Smith,18,Male,48709.56,537,13353.84,Retired
C00000140,Christopher Greene,52,Female,25504.24,705,33505.71,Employed
C00000141,Robert Bush DVM,54,Male,62671.69,571,46805.8,Self-Employed
C00000142,Ethan Heath,64,Female,134299.49,668,14712.69,Retired
C00000143,Rachel Cisneros,31,Male,47255.41,621,17279.29,Self-Employed
C00000144,Ashley Cuevas,20,Female,34746.18,739,3524.45,Unemployed
C00000145,Martin Perry,18,Male,194753.83,385,37044.4,Self-Employed
C00000146,Teresa Nolan,22,Male,199442.9,825,40996.53,Self-Employed
C00000147,Eric Gonzales,43,Male,134664.23,803,11637.66,Unemployed
C00000148,Randy Stewart,31,Female,39541.95,368,44264.73,Employed
C00000149,Angela Ramos,56,Male,167873.71,454,24428.85,Employed
C00000150,Scott Olsen,44,Male,117058.46,763,13204.76,Retired
C00000151,Matthew Pugh,26,Female,52773.25,386,29515.52,Self-Employed
C00000152,Stephen Rodriguez,32,Female,123624.6,373,28780.15,Unemployed
C00000153,Lisa Robinson,32,Male,27088.78,522,16656.74,Employed
C00000154,Antonio Stone,43,Female,195044.8,326,32766.62,Employed
C00000155,Michael Gardner,59,Female,168673.79,403,39719.98,Self-Employed
C00000156,Justin Armstrong,30,Male,66939.85,358,35772.25,Retired
C00000157,Michael Armstrong,68,Female,95404.14,378,18694.2,Unemployed
C00000158,Christopher Nicholson,49,Male,91151.04,451,40857.15,Retired
C00000159,Mary Tyler,56,Male,175068.95,398,33240.9,Retired
C00000160,Roger Perry,66,Male,83834.19,440,14199.46,Self-Employed
C00000161,Matthew Moore,69,Female,28636.43,351,43267.82,Retired
C00000162,Tracey Dyer,49,Female,58643.99,395,1370.74,Retired
C00000163,Rhonda Silva,21,Male,58802.54,512,32283.21,Self-Employed
C00000164,Nathan Johnson,47,Male,190863.39,457,26603.53,Unemployed
C00000165,Donna Cruz,54,Female,186329.86,353,33837.6,Retired
C00000166,Nathan Diaz,40,Female,74106.79,678,26264.45,Employed
C00000167,Sydney Rasmussen,56,Male,20498.08,486,48045.29,Employed
C00000168,John Osborne,62,Male,113059.57,602,16973.93,Unemployed
C00000169,Jenna Cain MD,32,Male,163503.19,387,13901.18,Retired
C00000170,Brian Mason,60,Female,68348.9,479,13842.47,Self-Employed
C00000171,Kathryn Murray,46,Male,99027.92,576,24666.28,Unemployed
C00000172,Kimberly Christensen,53,Female,51102.06,487,33206.08,Retired
C00000173,Adam Guzman,30,Male,78931.15,475,4021.7,Employed
C00000174,Matthew Lawson,49,Female,156593.54,373,45680.12,Retired
C00000175,Christopher Owen,24,Female,97090.63,439,13192.06,Retired
C00000176,Michael Hess,68,Male,100508.75,770,638.11,Unemployed
C00000177,Jon Smith,39,Female,162119.3,415,46280.52,Retired
C00000178,Kimberly Willis,45,Female,157335.09,738,11927.71,Employed
C00000179,Tamara Nichols,19,Male,53687.5,558,33120.9,Self-Employed
C00000180,Mr. Tyler Collins,59,Female,94748.99,673,1767.77,Self-Employed
C00000181,George Parker,62,Female,172794.41,705,30836.93,Self-Employed
C00000182,Michael Sanford Jr.,23,Male,102212.78,794,13472.44,Employed
C00000183,Erika Henderson,45,Female,139117.43,549,9976.76,Self-Employed
C00000184,Karina Smith,45,Female,75073.19,372,3153.44,Self-Employed
C00000185,Steven Werner,61,Male,30720.54,576,44641.13,Unemployed
C00000186,Jeremy Chavez,61,Male,49681.83,720,46435.42,Employed
C00000187,Jeanne Haynes,37,Male,92309.76,460,41353.18,Retired
C00000188,Johnathan Garcia,47,Female,83624.07,620,14702.07,Employed
C00000189,Mrs. Bethany Kirby DDS,28,Male,181215.34,664,5.33,Self-Employed
C00000190,Leonard Jackson,45,Male,118212.08,626,12051.7,Unemployed
C00000191,Kelly Santana,42,Male,132887.97,339,29382.7,Retired
C00000192,Hector Weber,56,Male,143962.89,618,16498.04,Employed
C00000193,Carolyn Rodriguez,50,Male,115692.67,788,6649.47,Unemployed
C00000194,Ernest Walker,18,Male,158536.22,459,9995.79,Self-Employed
C00000195,Thomas Greene,44,Male,160958.09,735,40260.98,Employed
C00000196,Michael May,69,Female,83249.47,840,15682.15,Retired
C00000197,Angela Jensen,30,Female,35261.33,365,6725.09,Retired
C00000198,April Brown,58,Male,197543.76,766,29831.46,Employed
C00000199,Daniel Ibarra,20,Male,135671.73,398,28545.42,Retired
C00000200,Kelly Anderson,56,Female,147604.89,839,20049.81,Employed
C00000201,Phillip Kelley,23,Male,156205.28,701,25386.0,Self-Employed
C00000202,Theresa Charles,25,Female,130333.42,537,12916.93,Unemployed
C00000203,Morgan Sandoval,44,Male,104762.26,579,34782.76,Self-Employed
C00000204,James Garcia,26,Female,197240.54,840,11080.43,Retired
C00000205,Brittany Richardson,54,Male,150978.33,791,29177.82,Unemployed
C00000206,Scott Gibson,50,Female,172252.78,795,23978.48,Retired
C00000207,Jennifer Robles MD,68,Female,99141.57,385,6928.57,Unemployed
C00000208,Manuel Cameron,59,Male,182859.95,456,19934.07,Unemployed
C00000209,Dalton Watkins,61,Female,151787.19,575,25808.4,Self-Employed
C00000210,Brianna Miller,41,Female,154303.04,749,1619.37,Self-Employed
C00000211,Julie King,32,Male,35647.62,367,40044.64,Self-Employed
C00000212,Andrea Wong,49,Female,131142.21,574,36195.4,Unemployed
C00000213,Ms. Elizabeth Banks MD,49,Female,80339.01,699,12801.07,Self-Employed
C00000214,Brian Shaffer,41,Female,140420.3,598,12321.29,Unemployed
C00000215,Paula Rogers,58,Female,122278.54,406,15760.65,Employed
C00000216,Jeremy Taylor,69,Male,40014.11,511,40041.71,Retired
C00000217,Sharon Crawford,66,Female,115397.79,687,45040.47,Employed
C00000218,Alexander Dougherty,66,Female,101226.52,570,8669.38,Self-Employed
C00000219,Sarah Harris,69,Female,159759.83,585,317.07,Self-Employed
C00000220,Elizabeth English,29,Female,110474.89,406,37143.83,Employed
C00000221,Charles Powell,56,Male,106609.19,598,21876.44,Unemployed
C00000222,Lisa Mora,19,Female,149508.38,313,32718.91,Retired
C00000223,George Mccall,20,Male,140345.82,601,43692.85,Employed
C00000224,Patrick Nash,66,Male,198533.79,634,46463.95,Retired
C00000225,Brandon Leblanc,54,Female,83351.49,320,20298.26,Retired
C00000226,Stephen Carpenter,66,Male,143904.18,631,12305.53,Self-Employed
C00000227,Max Dickson MD,34,Female,50106.54,774,39989.15,Self-Employed
C00000228,Latoya Ross,66,Female,164820.94,488,18874.95,Retired
C00000229,Mary Schmitt,19,Female,161508.01,502,4903.3,Employed
C00000230,Mary Gonzalez,19,Male,150647.72,364,36287.88,Unemployed
C00000231,Brian Montgomery,45,Male,41429.14,708,37095.58,Unemployed
C00000232,Michael Parker,40,Female,197758.03,798,10134.56,Retired
C00000233,Heather Johnston,54,Male,189669.91,764,1276.44,Retired
C00000234,Maureen Pena,49,Male,86616.47,731,5984.54,Unemployed
C00000235,Sonia Williams,50,Male,123916.86,406,15705.84,Retired
C00000236,Tamara Stevenson,18,Male,179999.65,772,18043.81,Retired
C00000237,Anna Decker,36,Female,109035.92,334,44338.03,Retired
C00000238,Jo Whitaker,19,Female,127849.4,503,25636.02,Employed
C00000239,Alec Small,61,Female,128583.71,797,44086.76,Unemployed
C00000240,Dawn Hopkins,43,Male,136865.89,563,9377.61,Self-Employed
C00000241,Rebekah Rowe,49,Female,123590.06,715,38816.45,Unemployed
C00000242,Michael Sanchez,23,Female,93069.96,345,4580.23,Self-Employed
C00000243,Kerry Edwards,49,Female,117106.29,696,40972.47,Unemployed
C00000244,Christina Reeves,21,Male,176859.68,588,18668.86,Retired
C00000245,Ian Moore,28,Male,175538.6,556,33501.43,Employed
C00000246,Mark Harrison,34,Male,159058.23,366,47125.67,Unemployed
C00000247,Sherry Winters,55,Female,94539.37,379,40098.04,Retired
C00000248,John Douglas,41,Female,161475.06,733,10458.55,Employed
C00000249,Jesse Cole,22,Female,89814.14,425,35577.49,Self-Employed
C00000250,Erik Tran,69,Male,139532.37,715,17785.17,Employed
C00000251,Joseph Garza,51,Female,122137.07,791,32811.3,Self-Employed
C00000252,Scott Poole,23,Male,74004.44,309,4355.15,Retired
C00000253,Patricia Anderson,39,Male,101518.09,684,415.32,Unemployed
C00000254,Jason Espinoza III,28,Male,169465.12,754,46591.56,Unemployed
C00000255,Lori Pearson,65,Female,184295.51,562,47232.69,Unemployed
C00000256,Andrea Patterson,33,Male,56953.18,665,7374.17,Retired
C00000257,Louis Dennis,50,Female,102118.67,367,46985.44,Self-Employed
C00000258,Nicole Santos,26,Male,98031.0,431,28406.48,Unemployed
C00000259,Matthew Weaver,23,Female,108022.75,644,28486.79,Retired
C00000260,Kaitlyn Frost,33,Male,195792.62,816,36693.08,Unemployed
C00000261,Mark Bray,46,Female,113373.65,610,38110.1,Employed
C00000262,Stephanie Kelly,20,Female,169413.8,740,11892.06,Employed
C00000263,Jesse Long,37,Male,139508.67,374,40300.84,Retired
C00000264,Kevin Edwards,53,Female,39294.36,375,40866.33,Retired
C00000265,Brenda Bryan,36,Female,145218.22,546,9279.01,Self-Employed
C00000266,Dr. Cynthia Carrillo,43,Male,136470.65,379,31579.76,Retired
C00000267,Jordan Richmond,20,Male,156524.4,660,37190.03,Employed
C00000268,Mary Patterson,36,Female,33400.73,821,29307.78,Self-Employed
C00000269,Mark Moore,37,Male,63435.36,637,15309.77,Unemployed
C00000270,Morgan Mitchell,49,Female,158471.96,328,14133.67,Self-Employed
C00000271,Dr. Timothy Chan,24,Male,86710.88,555,48684.73,Self-Employed
C00000272,John Wise,69,Male,183947.41,453,41883.88,Employed
C00000273,Nathan Fisher,58,Male,113180.67,841,13121.9,Unemployed
C00000274,Austin Brown,50,Female,20184.88,794,40604.54,Retired
C00000275,Carol Torres,57,Male,145790.47,826,15157.9,Retired
C00000276,Barbara Warren,56,Female,112423.51,318,47346.75,Self-Employed
C00000277,Peter Thompson,35,Female,77076.98,327,40309.96,Retired
C00000278,Alexis Hampton,57,Male,23679.33,796,40576.35,Employed
C00000279,Allison Roy,18,Male,55774.32,652,2378.75,Retired
C00000280,Dr. Daniel Hamilton MD,28,Male,49086.91,360,3288.08,Self-Employed
C00000281,Mark Hernandez,45,Male,124913.75,337,40664.82,Retired
C00000282,Carolyn Reyes,42,Male,158519.72,654,22541.23,Self-Employed
C00000283,Joseph Davis,67,Female,62229.16,587,46808.67,Unemployed
C00000284,Charlotte Hernandez,40,Male,145590.16,596,34502.15,Retired
C00000285,Jessica Fletcher,48,Female,181968.37,512,16772.44,Employed
C00000286,Christine Ball,47,Female,131885.48,698,13227.26,Self-Employed
C00000287,Judy Green,59,Male,159616.57,300,46650.5,Retired
C00000288,Emily Mccarty,52,Male,56761.67,726,8081.53,Retired
C00000289,Robert Anderson,24,Female,33488.93,697,27733.58,Unemployed
C00000290,Diane Perez,33,Female,85769.8,429,16516.38,Retired
C00000291,Phillip Carter,43,Male,147621.25,307,45080.11,Employed
C00000292,Beth Foster,65,Female,143497.75,310,49526.67,Employed
C00000293,Katherine Shaw,69,Female,191914.26,319,27663.69,Self-Employed
C00000294,Monica Marsh,66,Female,133396.12,614,3106.78,Retired
C00000295,William Bautista,19,Male,94031.2,316,48532.24,Unemployed
C00000296,Stephen Lyons,18,Female,163483.66,544,21636.57,Retired
C00000297,Devon Munoz,65,Female,47552.22,494,22133.06,Employed
C00000298,Andrew Mays,29,Female,166344.02,431,20518.47,Retired
C00000299,Lindsey Turner,22,Male,85867.48,515,15283.71,Retired
C00000300,Justin Mcclain,54,Male,47721.8,528,4960.76,Unemployed
C00000301,Roger Aguilar,49,Female,49185.31,552,41484.07,Retired
C00000302,Christine Freeman,26,Female,197047.55,623,12754.33,Retired
C00000303,Debra Hernandez,58,Female,132180.1,378,23225.65,Unemployed
C00000304,Kevin Keller,52,Male,51367.63,773,10920.95,Employed
C00000305,David Owen,36,Male,68341.26,358,755.19,Employed
C00000306,Megan Gill,65,Female,86974.36,735,26164.88,Retired
C00000307,Dana Pierce DVM,33,Female,30061.9,600,9386.59,Unemployed
C00000308,William Brown,20,Female,39514.83,573,17138.92,Unemployed
C00000309,Mary Miller,37,Female,157115.77,554,11310.7,Retired
C00000310,Samantha Colon,41,Female,161637.31,605,29698.0,Unemployed
C00000311,Clayton Smith,50,Female,197882.23,589,41800.03,Self-Employed
C00000312,Nicole Barnes,41,Female,32167.35,353,3220.22,Self-Employed
C00000313,Stephanie Paul,69,Male,180053.19,481,6432.95,Self-Employed
C00000314,Mary Bryant,28,Male,77098.89,607,25843.97,Unemployed
C00000315,Ann Ramsey,66,Male,79013.11,713,12106.85,Unemployed
C00000316,Barbara Frank,25,Female,42910.81,352,42719.96,Retired
C00000317,Jeffrey King,53,Male,197534.03,451,32943.35,Retired
C00000318,Jessica Bentley,55,Female,196578.06,605,38544.93,Retired
C00000319,Thomas Perez,57,Male,175669.33,728,41542.88,Self-Employed
C00000320,Anna Martin,37,Male,36340.42,389,1072.21,Retired
C00000321,Katherine Clark,52,Male,171496.93,690,45634.33,Retired
C00000322,Paige Ayala,65,Male,134230.52,798,45656.11,Retired
C00000323,Philip Ryan,42,Male,43179.58,344,702.61,Unemployed
C00000324,Debra Hicks,52,Female,67116.4,761,1755.16,Unemployed
C00000325,Sharon Romero,42,Female,144060.34,333,8165.61,Self-Employed
C00000326,Paul Scott,46,Male,164619.34,438,48530.94,Employed
C00000327,William Potter,35,Female,172655.67,348,27613.89,Self-Employed
C00000328,John Pittman,63,Male,117889.44,723,22022.09,Retired
C00000329,Ashley Spencer,35,Male,116231.58,626,44942.79,Retired
C00000330,James Martinez,19,Male,143157.62,398,37260.26,Self-Employed
C00000331,Leslie Burton,52,Female,159990.06,418,2447.31,Retired
C00000332,Crystal Hicks,33,Male,50705.44,531,46594.18,Self-Employed
C00000333,Rachel Hill,58,Male,153170.78,811,43314.32,Unemployed
C00000334,Tina Young,53,Female,81503.59,337,20889.33,Employed
C00000335,Jack Russell,50,Male,89076.55,428,3710.48,Self-Employed
C00000336,Lisa Buchanan,21,Female,33988.33,410,38435.8,Unemployed
C00000337,Veronica Logan,50,Female,125915.74,321,3615.15,Employed
C00000338,Sue Graves,31,Female,36815.62,640,18027.09,Self-Employed
C00000339,Laura Meyers,38,Female,184364.41,500,2194.69,Self-Employed
C00000340,Kristin Johnston,65,Female,131774.66,783,28350.72,Unemployed
C00000341,Julie Hall,37,Female,198250.73,304,18669.63,Self-Employed
C00000342,Johnny Campbell,25,Female,64217.39,842,42696.76,Employed
C00000343,Rodney Young,24,Female,142328.1,364,28521.57,Self-Employed
C00000344,Crystal Carter,20,Female,193597.4,389,33226.29,Unemployed
C00000345,John Perez,34,Female,73744.09,584,8517.54,Self-Employed
C00000346,Susan Williams,50,Female,37338.08,737,40786.97,Retired
C00000347,Rebecca Barrett,65,Female,134115.78,468,45942.29,Employed
C00000348,Daniel Powell,29,Female,85897.85,774,37344.24,Unemployed
C00000349,Maria Cannon,68,Female,69150.37,503,3651.42,Retired
C00000350,Michael Allen,39,Female,198845.78,334,40446.56,Retired
C00000351,Joshua Lee,39,Female,155739.68,738,36467.65,Self-Employed
C00000352,Kristen Allen,63,Female,107371.03,525,9506.58,Self-Employed
C00000353,Kyle Thomas,47,Male,29000.61,844,9453.65,Retired
C00000354,Cheryl Garcia,55,Male,54490.82,597,43934.72,Employed
C00000355,Jennifer Mckenzie,55,Female,73780.12,642,6445.04,Employed
C00000356,Timothy Ruiz,62,Female,107695.39,401,1061.02,Unemployed
C00000357,Anthony Kelley,68,Male,109504.97,677,13012.56,Unemployed
C00000358,Michael Hunt,25,Male,24452.01,800,22836.81,Employed
C00000359,David Rodriguez,44,Female,189804.13,457,25226.92,Employed
C00000360,Stephanie Sanders,44,Female,117705.29,647,32737.44,Retired
C00000361,Shelby Andrews,51,Male,23550.89,373,44430.84,Unemployed
C00000362,Jamie Smith,38,Female,146240.33,580,41921.39,Unemployed
C00000363,Jennifer Mccoy,47,Male,32843.27,569,42793.37,Unemployed
C00000364,Alicia Burke,50,Female,149810.68,620,3898.06,Retired
C00000365,James Morrow,45,Male,146268.65,713,1467.35,Retired
C00000366,Bryan Martin,64,Female,197286.17,824,23351.61,Self-Employed
C00000367,Miss Marie Jackson MD,50,Female,81566.74,644,13179.93,Unemployed
C00000368,Jacob Kelly,22,Male,45978.91,823,40702.82,Unemployed
C00000369,Nicholas Juarez,65,Female,36536.47,451,43631.67,Employed
C00000370,Lauren Perry,36,Male,32910.69,625,23339.06,Employed
C00000371,Julia Green,21,Male,165859.98,849,32370.11,Employed
C00000372,Robin Atkinson,52,Male,149338.65,625,11618.55,Employed
C00000373,Sarah Payne,66,Female,195664.74,408,28914.39,Employed
C00000374,Megan Blake,34,Male,75653.49,334,34132.27,Employed
C00000375,Teresa Wright,61,Female,164558.44,327,18340.89,Retired
C00000376,Nancy Allen,45,Male,36742.54,597,31188.4,Unemployed
C00000377,Brian Hughes,47,Male,182698.38,763,1757.29,Employed
C00000378,Michele Villanueva,46,Male,29329.46,541,39334.35,Employed
C00000379,Mark Jacobs,63,Male,161819.03,577,27747.87,Retired
C00000380,Crystal Graves,23,Female,75323.99,478,2499.46,Unemployed
C00000381,Matthew Green,52,Female,52614.74,642,22798.35,Self-Employed
C00000382,Christina Brooks,58,Female,146812.61,503,30128.02,Retired
C00000383,Stacy Grimes,54,Female,181258.05,722,3908.94,Employed
C00000384,Joseph Garcia,41,Female,157542.69,676,49271.62,Employed
C00000385,Eric Salazar,46,Female,76357.99,455,37138.28,Unemployed
C00000386,Patrick Jackson,66,Male,83642.72,751,12947.15,Self-Employed
C00000387,Kenneth Taylor,63,Female,54074.83,730,39964.17,Retired
C00000388,Ryan Duncan,48,Female,168331.09,530,38176.26,Unemployed
C00000389,Joshua Williams,52,Female,39276.85,551,11506.37,Retired
